year,month,count
1860,1,18
1860,2,4
1860,3,0
1860,4,6
1860,5,5
1860,6,6
1860,7,11
1860,8,5
1860,9,22
1860,10,1
1860,11,5
1860,12,5
1861,1,7
1861,2,4
1861,3,2
1861,4,1
1861,5,2
1861,6,4
1861,7,2
1861,8,4
1861,9,2
1861,10,2
1861,11,3
1861,12,1
1862,1,7
1862,2,2
1862,3,2
1862,4,4
1862,5,6
1862,6,2
1862,7,2
1862,8,7
1862,9,8
1862,10,11
1862,11,5
1862,12,2
1863,1,0
1863,2,0
1863,3,5
1863,4,5
1863,5,0
1863,6,6
1863,7,5
1863,8,2
1863,9,2
1863,10,1
1863,11,0
1863,12,0
1864,1,4
1864,2,3
1864,3,1
1864,4,4
1864,5,3
1864,6,3
1864,7,6
1864,8,5
1864,9,22
1864,10,8
1864,11,10
1864,12,10
1865,1,8
1865,2,5
1865,3,5
1865,4,2
1865,5,5
1865,6,18
1865,7,30
1865,8,81
1865,9,57
1865,10,94
1865,11,65
1865,12,27
1866,1,26
1866,2,26
1866,3,13
1866,4,106
1866,5,302
1866,6,328
1866,7,418
1866,8,511
1866,9,409
1866,10,251
1866,11,169
1866,12,98
1867,1,92
1867,2,69
1867,3,63
1867,4,57
1867,5,52
1867,6,47
1867,7,31
1867,8,192
1867,9,292
1867,10,197
1867,11,81
1867,12,65
1868,1,36
1868,2,24
1868,3,46
1868,4,14
1868,5,15
1868,6,17
1868,7,20
1868,8,41
1868,9,45
1868,10,43
1868,11,40
1868,12,17
1869,1,18
1869,2,12
1869,3,13
1869,4,26
1869,5,17
1869,6,15
1869,7,14
1869,8,24
1869,9,12
1869,10,11
1869,11,20
1869,12,3
1870,1,11
1870,2,14
1870,3,27
1870,4,23
1870,5,13
1870,6,13
1870,7,6
1870,8,8
1870,9,5
1870,10,38
1870,11,8
1870,12,25
1871,1,29
1871,2,20
1871,3,14
1871,4,7
1871,5,27
1871,6,25
1871,7,34
1871,8,231
1871,9,172
1871,10,43
1871,11,35
1871,12,23
1872,1,38
1872,2,10
1872,3,6
1872,4,4
1872,5,13
1872,6,25
1872,7,32
1872,8,92
1872,9,44
1872,10,68
1872,11,29
1872,12,20
1873,1,9
1873,2,18
1873,3,15
1873,4,14
1873,5,11
1873,6,23
1873,7,65
1873,8,157
1873,9,127
1873,10,224
1873,11,212
1873,12,299
1874,1,255
1874,2,248
1874,3,129
1874,4,119
1874,5,59
1874,6,50
1874,7,94
1874,8,83
1874,9,34
1874,10,50
1874,11,31
1874,12,31
1875,1,44
1875,2,49
1875,3,60
1875,4,67
1875,5,37
1875,6,38
1875,7,65
1875,8,57
1875,9,37
1875,10,42
1875,11,19
1875,12,12
1876,1,34
1876,2,44
1876,3,60
1876,4,77
1876,5,54
1876,6,46
1876,7,39
1876,8,51
1876,9,31
1876,10,34
1876,11,19
1876,12,22
1877,1,9
1877,2,24
1877,3,14
1877,4,20
1877,5,16
1877,6,16
1877,7,30
1877,8,28
1877,9,13
1877,10,25
1877,11,17
1877,12,12
1878,1,37
1878,2,7
1878,3,6
1878,4,17
1878,5,8
1878,6,16
1878,7,14
1878,8,27
1878,9,63
1878,10,13
1878,11,13
1878,12,9
1879,1,13
1879,2,10
1879,3,13
1879,4,5
1879,5,10
1879,6,1
1879,7,18
1879,8,39
1879,9,29
1879,10,28
1879,11,23
1879,12,13
1880,1,20
1880,2,4
1880,3,13
1880,4,5
1880,5,5
1880,6,4
1880,7,15
1880,8,17
1880,9,7
1880,10,7
1880,11,7
1880,12,14
1881,1,1
1881,2,5
1881,3,7
1881,4,4
1881,5,9
1881,6,7
1881,7,9
1881,8,7
1881,9,61
1881,10,93
1881,11,136
1881,12,81
1882,1,61
1882,2,39
1882,3,36
1882,4,29
1882,5,48
1882,6,72
1882,7,56
1882,8,92
1882,9,139
1882,10,97
1882,11,135
1882,12,70
1883,1,42
1883,2,50
1883,3,41
1883,4,39
1883,5,56
1883,6,83
1883,7,433
1883,8,433
1883,9,191
1883,10,150
1883,11,87
1883,12,55
1884,1,60
1884,2,45
1884,3,42
1884,4,42
1884,5,69
1884,6,88
1884,7,632
1884,8,614
1884,9,319
1884,10,183
1884,11,348
1884,12,159
1885,1,88
1885,2,62
1885,3,56
1885,4,65
1885,5,113
1885,6,162
1885,7,243
1885,8,297
1885,9,216
1885,10,133
1885,11,71
1885,12,81
1886,1,70
1886,2,54
1886,3,63
1886,4,104
1886,5,86
1886,6,70
1886,7,140
1886,8,75
1886,9,126
1886,10,110
1886,11,112
1886,12,66
1887,1,82
1887,2,48
1887,3,65
1887,4,32
1887,5,15
1887,6,36
1887,7,111
1887,8,127
1887,9,82
1887,10,46
1887,11,28
1887,12,39
1888,1,8
1888,2,29
1888,3,25
1888,4,25
1888,5,37
1888,6,54
1888,7,54
1888,8,79
1888,9,63
1888,10,62
1888,11,64
1888,12,39
1889,1,34
1889,2,26
1889,3,26
1889,4,20
1889,5,28
1889,6,37
1889,7,50
1889,8,53
1889,9,62
1889,10,56
1889,11,31
1889,12,38
1890,1,77
1890,2,52
1890,3,19
1890,4,17
1890,5,21
1890,6,117
1890,7,142
1890,8,167
1890,9,113
1890,10,79
1890,11,44
1890,12,43
1891,1,25
1891,2,22
1891,3,12
1891,4,12
1891,5,24
1891,6,32
1891,7,70
1891,8,42
1891,9,47
1891,10,48
1891,11,36
1891,12,38
1892,1,96
1892,2,33
1892,3,20
1892,4,28
1892,5,40
1892,6,61
1892,7,246
1892,8,549
1892,9,1344
1892,10,1186
1892,11,713
1892,12,454
1893,1,403
1893,2,253
1893,3,188
1893,4,187
1893,5,187
1893,6,313
1893,7,298
1893,8,392
1893,9,895
1893,10,630
1893,11,281
1893,12,152
1894,1,129
1894,2,47
1894,3,59
1894,4,63
1894,5,87
1894,6,120
1894,7,298
1894,8,863
1894,9,556
1894,10,394
1894,11,174
1894,12,59
1895,1,49
1895,2,54
1895,3,52
1895,4,65
1895,5,68
1895,6,91
1895,7,99
1895,8,155
1895,9,111
1895,10,75
1895,11,42
1895,12,47
1896,1,49
1896,2,31
1896,3,32
1896,4,38
1896,5,78
1896,6,90
1896,7,98
1896,8,84
1896,9,28
1896,10,90
1896,11,76
1896,12,100
1897,1,124
1897,2,62
1897,3,54
1897,4,41
1897,5,55
1897,6,89
1897,7,78
1897,8,109
1897,9,98
1897,10,68
1897,11,43
1897,12,24
1898,1,25
1898,2,16
1898,3,10
1898,4,15
1898,5,15
1898,6,11
1898,7,21
1898,8,27
1898,9,23
1898,10,31
1898,11,13
1898,12,11
1899,1,23
1899,2,22
1899,3,15
1899,4,12
1899,5,35
1899,6,30
1899,7,41
1899,8,53
1899,9,23
1899,10,33
1899,11,18
1899,12,19
